Roll no,gender,Division,test preparation course,Science,Maths,English
974,male, C,none,78,71,67
975,female, B,none,59,59,58
976,male, C,none,74,76,70
977,female, B,completed,31,29,35
978,female, C,completed,54,55,65
979,male, C,none,51,51,45
980,female, B,completed,57,65,68
981,female, C,none,39,50,49
982,male, C,none,64,48,48
983,male, C,completed,69,79,72
984,male, A,none,58,50,47
985,female, D,none,63,71,75
986,male, E,none,74,73,67
987,male, E,none,78,84,77
988,male, A,completed,78,78,74
989,female, B,none,75,76,81
990,male, D,completed,70,60,65
991,male, D,none,67,55,53
992,female, C,none,87,93,88
993,male, C,none,69,63,66
994,female, A,none,58,54,58
995,male, E,completed,86,82,75
996,male, C,none,73,70,65
997,male, D,completed,85,91,92
998,female, C,none,32,35,41
999,female, C,none,73,74,82
1000,male, A,completed,65,60,62
